source,target
"com.itsoninc.saas.adapter.jms.JMSQueueConfigurations$JMSQueueType","java.lang.Enum"
"com.itsoninc.saas.adapter.connector.netty.ServiceConnectorImpl$HttpMethod","java.lang.Enum"
"com.itsoninc.saas.infrastructure.cache.instrumentation.CacheComponentMetricsCreator$CacheLatencyMetricsType","java.lang.Enum"
"com.itsoninc.saas.adapter.sapphire.payment.payfort.ParamPlus","java.lang.Enum"
"com.itsoninc.saas.services.container.servlet.ITSONINNtfnService$NtfnOperation","java.lang.Enum"
"com.itsoninc.saas.payment.adapter.PaymentErrorType","java.lang.Enum"
"com.itsoninc.saas.infrastructure.storage.relational.RelationalDaoContext$QueryType","java.lang.Enum"
"com.itsoninc.saas.services.partner.plancycle.accountaction.event.AccountChurnEvent$AccountChurnActionType","java.lang.Enum"
"com.itsoninc.saas.services.iop.voice.VoiceSmsCDRRecord$ServiceType","java.lang.Enum"
"com.itsoninc.saas.infrastructure.services.event.EventComponentMetricsCreator$EventMetricsType","java.lang.Enum"
"com.itsoninc.saas.infrastructure.storage.instrumentation.StorageComponentMetricsCreator$StorageLatencyMetricsType","java.lang.Enum"
"com.itsoninc.saas.services.subscriber.subscription.PlanSubscriptionServiceImpl$OPCancelResumeOperation","java.lang.Enum"
"com.itsoninc.saas.adapters.sapphire.services.SapphireInvoiceService$IdType","java.lang.Enum"
"com.itsoninc.saas.adapters.sapphire.in.services.INAccountServiceClient$INSubscriberStatus","java.lang.Enum"
"com.itsoninc.saas.infrastructure.queue.AsyncQueueMessageListener$DequeueMessageStateType","java.lang.Enum"
"com.itsoninc.saas.services.partner.plancycle.errorhandler.MessageExecutionState$MessageExecutionStateType","java.lang.Enum"
"com.itsoninc.saas.infrastructure.state.ExecutionState$ExecutionStateType","java.lang.Enum"
"com.itsoninc.saas.services.auth.provider.ProviderType","java.lang.Enum"
"com.itsoninc.saas.adapters.sapphire.in.services.INServiceClientImpl$SubscriptionOper","java.lang.Enum"
"com.itsoninc.saas.adapter.sapphire.payment.payfort.ApiType","java.lang.Enum"
"com.itsoninc.saas.services.iop.IOFile$IOFileType","java.lang.Enum"
